index,old,new
1_3931,crystal,non-crystal
1_3952,crystal,challenging-crystal
1_3983,crystal,non-crystal
1_3999,crystal,challenging-crystal
1_4008,crystal,non-crystal
1_4032,crystal,non-crystal
1_4036,crystal,non-crystal
1_4066,crystal,challenging-crystal
1_4079,crystal,challenging-crystal
1_4100,crystal,challenging-crystal
1_4116,crystal,non-crystal
1_4128,crystal,non-crystal
1_4134,crystal,non-crystal
1_4135,crystal,challenging-crystal
1_4138,crystal,challenging-crystal
1_4171,crystal,non-crystal
1_417,crystal,non-crystal
1_4191,crystal,challenging-crystal
1_4194,crystal,non-crystal
1_4204,crystal,non-crystal
1_4208,crystal,challenging-crystal
1_421,crystal,challenging-crystal
1_4247,crystal,challenging-crystal
1_4265,crystal,challenging-crystal
1_4268,crystal,non-crystal
1_4286,crystal,challenging-crystal
1_4300,crystal,non-crystal
1_4304,crystal,challenging-crystal
1_4332,crystal,non-crystal
1_4337,crystal,challenging-crystal
1_434,crystal,challenging-crystal
1_4352,crystal,challenging-crystal
1_4369,crystal,challenging-crystal
1_4379,crystal,challenging-crystal
1_4386,crystal,challenging-crystal
1_4422,crystal,challenging-crystal
1_4428,crystal,challenging-crystal
1_4435,crystal,challenging-crystal
1_4451,crystal,challenging-crystal
1_4456,crystal,challenging-crystal
1_4477,crystal,challenging-crystal
1_4479,crystal,challenging-crystal
1_4484,crystal,challenging-crystal
1_4491,crystal,challenging-crystal
1_449,crystal,challenging-crystal
1_4510,crystal,challenging-crystal
1_452,crystal,challenging-crystal
1_4539,crystal,challenging-crystal
1_4545,crystal,challenging-crystal
1_4548,crystal,challenging-crystal
1_4552,crystal,challenging-crystal
1_4554,crystal,non-crystal
1_4579,crystal,non-crystal
1_4614,crystal,non-crystal
1_4623,crystal,challenging-crystal
1_4625,crystal,challenging-crystal
1_4627,crystal,challenging-crystal
1_4657,crystal,challenging-crystal
1_467,crystal,challenging-crystal
1_4710,crystal,challenging-crystal
1_474,crystal,non-crystal
1_4753,crystal,challenging-crystal
1_4756,crystal,challenging-crystal
1_478,crystal,non-crystal
1_4803,crystal,challenging-crystal
1_4810,crystal,challenging-crystal
1_4817,crystal,challenging-crystal
1_4836,crystal,challenging-crystal
1_4879,crystal,challenging-crystal
1_4885,crystal,challenging-crystal
1_4919,crystal,challenging-crystal
1_4920,crystal,non-crystal
1_4928,crystal,challenging-crystal
1_4929,crystal,challenging-crystal
1_4944,crystal,challenging-crystal
1_495,crystal,challenging-crystal
1_497,crystal,non-crystal
1_4986,crystal,challenging-crystal
1_4993,crystal,challenging-crystal
1_5007,crystal,challenging-crystal
1_5017,crystal,challenging-crystal
1_5024,crystal,non-crystal
1_5037,crystal,challenging-crystal
1_5043,crystal,challenging-crystal
1_5067,crystal,challenging-crystal
1_5105,crystal,challenging-crystal
1_5118,crystal,challenging-crystal
1_5151,crystal,challenging-crystal
1_5154,crystal,challenging-crystal
1_5196,crystal,challenging-crystal
1_5203,crystal,challenging-crystal
1_5274,crystal,challenging-crystal
1_5300,crystal,challenging-crystal
1_5322,crystal,challenging-crystal
1_5336,crystal,challenging-crystal
1_5349,crystal,challenging-crystal
1_5353,crystal,challenging-crystal
1_5402,crystal,challenging-crystal
1_541,crystal,challenging-crystal
1_5424,crystal,challenging-crystal
1_542,crystal,challenging-crystal
1_5438,crystal,challenging-crystal
1_5467,crystal,challenging-crystal
1_5490,crystal,challenging-crystal
1_5515,crystal,challenging-crystal
1_5546,crystal,challenging-crystal
1_5569,crystal,challenging-crystal
1_5576,crystal,challenging-crystal
1_5582,crystal,challenging-crystal
1_5624,crystal,challenging-crystal
1_5656,crystal,challenging-crystal
1_5676,crystal,challenging-crystal
1_5689,crystal,challenging-crystal
1_5739,crystal,non-crystal
1_5779,crystal,challenging-crystal
1_5780,crystal,challenging-crystal
1_5784,crystal,challenging-crystal
1_5793,crystal,challenging-crystal
1_5794,crystal,challenging-crystal
1_5797,crystal,challenging-crystal
1_5802,crystal,challenging-crystal
1_5803,crystal,challenging-crystal
1_5816,crystal,challenging-crystal
1_5830,crystal,challenging-crystal
1_5844,crystal,challenging-crystal
1_5862,crystal,non-crystal
1_5871,crystal,challenging-crystal
1_5920,crystal,challenging-crystal
1_595,crystal,challenging-crystal
1_6008,crystal,challenging-crystal
1_6015,crystal,non-crystal
1_6024,crystal,non-crystal
1_6057,crystal,challenging-crystal
1_6091,crystal,challenging-crystal
1_6100,crystal,challenging-crystal
1_6108,crystal,challenging-crystal
1_6117,crystal,challenging-crystal
1_6126,crystal,challenging-crystal
1_6153,crystal,challenging-crystal
1_6154,crystal,challenging-crystal
1_6168,crystal,challenging-crystal
1_6174,crystal,challenging-crystal
1_620,crystal,challenging-crystal
1_6222,crystal,non-crystal
1_6224,crystal,non-crystal
1_6243,crystal,challenging-crystal
1_6250,crystal,challenging-crystal
1_6276,crystal,challenging-crystal
1_6306,crystal,non-crystal
1_6311,crystal,challenging-crystal
1_6320,crystal,non-crystal
1_6341,crystal,challenging-crystal
1_6363,crystal,challenging-crystal
1_6369,crystal,challenging-crystal
1_63,crystal,non-crystal
1_6414,crystal,challenging-crystal
1_6417,crystal,challenging-crystal
1_6425,crystal,challenging-crystal
1_6477,crystal,challenging-crystal
1_6483,crystal,challenging-crystal
1_650,crystal,challenging-crystal
1_6565,crystal,challenging-crystal
1_6580,crystal,challenging-crystal
1_6594,crystal,challenging-crystal
1_6599,crystal,challenging-crystal
1_6600,crystal,challenging-crystal
1_6626,crystal,challenging-crystal
1_6628,crystal,challenging-crystal
1_6630,crystal,challenging-crystal
1_6643,crystal,challenging-crystal
1_665,crystal,challenging-crystal
1_672,crystal,non-crystal
1_6731,crystal,challenging-crystal
1_6753,crystal,challenging-crystal
1_6778,crystal,challenging-crystal
1_6836,crystal,challenging-crystal
1_683,crystal,challenging-crystal
1_693,crystal,non-crystal
1_69,crystal,non-crystal
1_708,crystal,non-crystal
1_70,crystal,challenging-crystal
1_721,crystal,challenging-crystal
1_736,crystal,challenging-crystal
1_751,crystal,challenging-crystal
1_83,crystal,challenging-crystal
1_870,crystal,challenging-crystal
1_903,crystal,challenging-crystal
1_925,crystal,challenging-crystal
1_97,crystal,challenging-crystal
1_995,crystal,challenging-crystal
2_1029,crystal,challenging-crystal
2_1117,crystal,challenging-crystal
2_1147,crystal,challenging-crystal
2_1232,crystal,challenging-crystal
2_1244,crystal,non-crystal
2_1275,crystal,non-crystal
2_127,crystal,challenging-crystal
2_141,crystal,non-crystal
2_1531,crystal,challenging-crystal
2_1641,crystal,non-crystal
2_1790,crystal,challenging-crystal
2_1880,crystal,challenging-crystal
2_1961,crystal,challenging-crystal
2_2254,crystal,challenging-crystal
2_2274,crystal,non-crystal
2_2277,crystal,non-crystal
2_2356,crystal,non-crystal
2_2492,crystal,non-crystal
2_2763,crystal,non-crystal
2_2885,crystal,challenging-crystal
2_2945,crystal,challenging-crystal
2_3055,crystal,challenging-crystal
2_3101,crystal,non-crystal
2_3114,crystal,challenging-crystal
2_312,crystal,challenging-crystal
2_3183,crystal,challenging-crystal
2_3228,crystal,challenging-crystal
2_3248,crystal,non-crystal
2_324,crystal,challenging-crystal
2_3457,crystal,challenging-crystal
2_3744,crystal,challenging-crystal
2_3776,crystal,challenging-crystal
2_3927,crystal,challenging-crystal
2_4026,crystal,challenging-crystal
2_4308,crystal,challenging-crystal
2_4319,crystal,challenging-crystal
2_4321,crystal,challenging-crystal
2_4568,crystal,non-crystal
2_4865,crystal,challenging-crystal
2_4929,crystal,challenging-crystal
2_5056,crystal,challenging-crystal
2_5087,crystal,challenging-crystal
2_5175,crystal,challenging-crystal
2_5176,crystal,non-crystal
2_5195,crystal,non-crystal
2_5247,crystal,challenging-crystal
2_5286,crystal,challenging-crystal
2_5303,crystal,non-crystal
2_5320,crystal,challenging-crystal
2_5323,crystal,challenging-crystal
2_5345,crystal,challenging-crystal
2_5398,crystal,challenging-crystal
2_5405,crystal,non-crystal
2_5578,crystal,non-crystal
2_5703,crystal,challenging-crystal
2_5933,crystal,non-crystal
2_6032,crystal,non-crystal
2_6302,crystal,challenging-crystal
2_6385,crystal,challenging-crystal
2_6415,crystal,challenging-crystal
2_6487,crystal,challenging-crystal
2_6517,crystal,challenging-crystal
2_6639,crystal,challenging-crystal
2_6668,crystal,challenging-crystal
2_6779,crystal,challenging-crystal
2_6785,crystal,challenging-crystal
2_911,crystal,challenging-crystal
2_93,crystal,challenging-crystal
1_1287,non-crystal,challenging-crystal
1_130,non-crystal,challenging-crystal
1_2173,non-crystal,challenging-crystal
1_3441,non-crystal,challenging-crystal
1_4659,non-crystal,challenging-crystal
1_5186,non-crystal,challenging-crystal
1_5821,non-crystal,challenging-crystal
1_6857,non-crystal,challenging-crystal
2_2847,non-crystal,challenging-crystal
2_3305,non-crystal,challenging-crystal
2_4868,non-crystal,challenging-crystal
1_100,challenging-crystal,crystal
1_1027,challenging-crystal,non-crystal
1_1288,challenging-crystal,non-crystal
1_129,challenging-crystal,crystal
1_132,challenging-crystal,crystal
1_1380,challenging-crystal,non-crystal
1_1521,challenging-crystal,crystal
1_1652,challenging-crystal,crystal
1_1713,challenging-crystal,crystal
1_1779,challenging-crystal,crystal
1_2161,challenging-crystal,crystal
1_2234,challenging-crystal,crystal
1_2235,challenging-crystal,crystal
1_2300,challenging-crystal,crystal
1_2323,challenging-crystal,crystal
1_2382,challenging-crystal,crystal
1_2418,challenging-crystal,crystal
1_2436,challenging-crystal,crystal
1_2488,challenging-crystal,non-crystal
1_2511,challenging-crystal,crystal
1_2519,challenging-crystal,crystal
1_2637,challenging-crystal,crystal
1_2847,challenging-crystal,crystal
1_2933,challenging-crystal,crystal
1_3033,challenging-crystal,crystal
1_3061,challenging-crystal,crystal
1_3075,challenging-crystal,crystal
1_3081,challenging-crystal,crystal
1_3191,challenging-crystal,crystal
1_3360,challenging-crystal,non-crystal
1_3386,challenging-crystal,crystal
1_3485,challenging-crystal,crystal
1_3579,challenging-crystal,crystal
1_3584,challenging-crystal,crystal
1_3627,challenging-crystal,crystal
1_3680,challenging-crystal,crystal
1_3724,challenging-crystal,crystal
1_3733,challenging-crystal,crystal
1_3756,challenging-crystal,non-crystal
1_4202,challenging-crystal,crystal
1_4269,challenging-crystal,non-crystal
1_4476,challenging-crystal,non-crystal
1_4489,challenging-crystal,non-crystal
1_4638,challenging-crystal,crystal
1_4708,challenging-crystal,crystal
1_4713,challenging-crystal,crystal
1_4848,challenging-crystal,crystal
1_4864,challenging-crystal,crystal
1_4869,challenging-crystal,crystal
1_4907,challenging-crystal,crystal
1_4956,challenging-crystal,crystal
1_4968,challenging-crystal,crystal
1_5032,challenging-crystal,crystal
1_5139,challenging-crystal,crystal
1_5165,challenging-crystal,crystal
1_5245,challenging-crystal,crystal
1_5266,challenging-crystal,crystal
1_5363,challenging-crystal,crystal
1_5408,challenging-crystal,crystal
1_5428,challenging-crystal,crystal
1_5529,challenging-crystal,crystal
1_5535,challenging-crystal,crystal
1_5581,challenging-crystal,crystal
1_5604,challenging-crystal,crystal
1_5618,challenging-crystal,crystal
1_5632,challenging-crystal,crystal
1_5688,challenging-crystal,crystal
1_5713,challenging-crystal,crystal
1_5726,challenging-crystal,crystal
1_5761,challenging-crystal,crystal
1_5798,challenging-crystal,crystal
1_5817,challenging-crystal,crystal
1_5875,challenging-crystal,crystal
1_5890,challenging-crystal,crystal
1_5904,challenging-crystal,crystal
1_5907,challenging-crystal,crystal
1_6145,challenging-crystal,crystal
1_6277,challenging-crystal,crystal
1_6343,challenging-crystal,crystal
1_6400,challenging-crystal,crystal
1_6407,challenging-crystal,crystal
1_6429,challenging-crystal,crystal
1_6452,challenging-crystal,crystal
1_6474,challenging-crystal,crystal
1_6591,challenging-crystal,non-crystal
1_6613,challenging-crystal,crystal
1_6620,challenging-crystal,crystal
1_6699,challenging-crystal,crystal
1_6742,challenging-crystal,crystal
1_6785,challenging-crystal,crystal
1_6829,challenging-crystal,crystal
2_1306,challenging-crystal,crystal
2_2915,challenging-crystal,non-crystal
2_3678,challenging-crystal,non-crystal
2_387,challenging-crystal,crystal
2_4976,challenging-crystal,crystal
2_5211,challenging-crystal,non-crystal
2_5899,challenging-crystal,non-crystal
2_6246,challenging-crystal,crystal
1_1090,crystal,challenging-crystal
1_1112,crystal,challenging-crystal
1_1231,crystal,challenging-crystal
1_1249,crystal,challenging-crystal
1_1275,crystal,challenging-crystal
1_1483,crystal,challenging-crystal
1_1616,crystal,challenging-crystal
1_1728,crystal,challenging-crystal
1_1821,crystal,challenging-crystal
1_1918,crystal,challenging-crystal
1_2166,crystal,challenging-crystal
1_2195,crystal,challenging-crystal
1_2566,crystal,challenging-crystal
1_2656,crystal,challenging-crystal
1_2774,crystal,challenging-crystal
1_3350,crystal,challenging-crystal
1_3536,crystal,challenging-crystal
1_375,crystal,challenging-crystal
1_3860,crystal,challenging-crystal
1_3882,crystal,challenging-crystal
1_3885,crystal,challenging-crystal
1_3888,crystal,challenging-crystal
1_3906,crystal,challenging-crystal
1_3956,crystal,challenging-crystal
1_4030,crystal,challenging-crystal
1_4034,crystal,challenging-crystal
1_4045,crystal,challenging-crystal
1_4054,crystal,challenging-crystal
1_4107,crystal,challenging-crystal
1_4115,crystal,challenging-crystal
1_4156,crystal,challenging-crystal
1_4187,crystal,challenging-crystal
1_4195,crystal,challenging-crystal
1_4198,crystal,challenging-crystal
1_4206,crystal,challenging-crystal
1_4211,crystal,challenging-crystal
1_4236,crystal,challenging-crystal
1_4270,crystal,challenging-crystal
1_4271,crystal,challenging-crystal
1_4281,crystal,challenging-crystal
1_4292,crystal,challenging-crystal
1_4314,crystal,challenging-crystal
1_4345,crystal,challenging-crystal
1_4366,crystal,challenging-crystal
1_4665,crystal,challenging-crystal
1_515,crystal,challenging-crystal
1_554,crystal,challenging-crystal
1_6563,crystal,challenging-crystal
1_6824,crystal,challenging-crystal
1_752,crystal,challenging-crystal
1_757,crystal,challenging-crystal
1_767,crystal,challenging-crystal
1_930,crystal,challenging-crystal
1_949,crystal,challenging-crystal
2_1728,crystal,challenging-crystal
2_5698,crystal,challenging-crystal
2_5800,crystal,challenging-crystal
2_5920,crystal,challenging-crystal
1_1448,non-crystal,challenging-crystal
1_1620,non-crystal,challenging-crystal
1_1921,non-crystal,challenging-crystal
1_1928,non-crystal,challenging-crystal
1_19,non-crystal,challenging-crystal
1_2430,non-crystal,challenging-crystal
1_2907,non-crystal,challenging-crystal
1_3265,non-crystal,challenging-crystal
1_3337,non-crystal,challenging-crystal
1_3565,non-crystal,crystal
1_3571,non-crystal,crystal
1_3608,non-crystal,crystal
1_3753,non-crystal,crystal
1_429,non-crystal,challenging-crystal
1_4581,non-crystal,crystal
1_4583,non-crystal,crystal
1_4750,non-crystal,challenging-crystal
1_4840,non-crystal,challenging-crystal
1_5397,non-crystal,challenging-crystal
1_5435,non-crystal,challenging-crystal
1_5851,non-crystal,challenging-crystal
1_6050,non-crystal,challenging-crystal
1_6129,non-crystal,challenging-crystal
1_6161,non-crystal,challenging-crystal
1_6170,non-crystal,challenging-crystal
1_6735,non-crystal,challenging-crystal
1_6818,non-crystal,challenging-crystal
2_1873,non-crystal,challenging-crystal
2_3622,non-crystal,challenging-crystal
2_4073,non-crystal,challenging-crystal
2_4333,non-crystal,challenging-crystal
2_434,non-crystal,challenging-crystal
2_6158,non-crystal,challenging-crystal
2_6199,non-crystal,challenging-crystal
1_1102,crystal,challenging-crystal
1_111,crystal,challenging-crystal
1_1142,crystal,challenging-crystal
1_1177,crystal,challenging-crystal
1_1328,crystal,challenging-crystal
1_171,crystal,challenging-crystal
1_1719,crystal,non-crystal
1_1875,crystal,challenging-crystal
1_1979,crystal,challenging-crystal
1_2240,crystal,challenging-crystal
1_2280,crystal,challenging-crystal
1_2520,crystal,challenging-crystal
1_2548,crystal,non-crystal
1_2743,crystal,challenging-crystal
1_2782,crystal,non-crystal
1_281,crystal,challenging-crystal
1_2881,crystal,challenging-crystal
1_29,crystal,challenging-crystal
1_2913,crystal,non-crystal
1_3055,crystal,challenging-crystal
1_3067,crystal,challenging-crystal
1_3123,crystal,challenging-crystal
1_3192,crystal,challenging-crystal
1_3223,crystal,challenging-crystal
1_3227,crystal,challenging-crystal
1_3280,crystal,challenging-crystal
1_3288,crystal,challenging-crystal
1_3348,crystal,challenging-crystal
1_3438,crystal,challenging-crystal
1_3481,crystal,challenging-crystal
1_3526,crystal,challenging-crystal
1_3589,crystal,challenging-crystal
1_3607,crystal,non-crystal
1_3628,crystal,challenging-crystal
1_3644,crystal,challenging-crystal
1_3696,crystal,challenging-crystal
1_3759,crystal,challenging-crystal
1_3790,crystal,challenging-crystal
1_384,crystal,challenging-crystal
1_3846,crystal,challenging-crystal
1_3905,crystal,non-crystal
1_3914,crystal,non-crystal
1_3992,crystal,non-crystal
1_4072,crystal,challenging-crystal
1_4110,crystal,challenging-crystal
1_427,crystal,non-crystal
1_4275,crystal,challenging-crystal
1_4394,crystal,challenging-crystal
1_4402,crystal,challenging-crystal
1_4410,crystal,non-crystal
1_4736,crystal,challenging-crystal
1_5040,crystal,non-crystal
1_5177,crystal,challenging-crystal
1_5432,crystal,challenging-crystal
1_5442,crystal,challenging-crystal
1_5447,crystal,challenging-crystal
1_5850,crystal,challenging-crystal
1_5959,crystal,non-crystal
1_6096,crystal,challenging-crystal
1_6118,crystal,challenging-crystal
1_6285,crystal,challenging-crystal
1_6404,crystal,non-crystal
1_6498,crystal,challenging-crystal
1_6636,crystal,challenging-crystal
1_6752,crystal,challenging-crystal
1_6850,crystal,challenging-crystal
1_845,crystal,challenging-crystal
1_850,crystal,non-crystal
2_1096,crystal,challenging-crystal
2_1423,crystal,challenging-crystal
2_1951,crystal,non-crystal
2_2603,crystal,challenging-crystal
2_2842,crystal,challenging-crystal
2_3482,crystal,challenging-crystal
2_4429,crystal,challenging-crystal
2_5347,crystal,non-crystal
2_5353,crystal,challenging-crystal
2_5429,crystal,challenging-crystal
2_6325,crystal,challenging-crystal
2_6388,crystal,non-crystal
1_1283,non-crystal,challenging-crystal
1_166,non-crystal,challenging-crystal
1_2309,non-crystal,challenging-crystal
1_2347,non-crystal,crystal
1_2642,non-crystal,challenging-crystal
1_3261,non-crystal,challenging-crystal
1_3388,non-crystal,challenging-crystal
1_4643,non-crystal,challenging-crystal
1_4900,non-crystal,challenging-crystal
1_4991,non-crystal,challenging-crystal
1_5157,non-crystal,challenging-crystal
1_5460,non-crystal,challenging-crystal
1_6272,non-crystal,challenging-crystal
1_6393,non-crystal,challenging-crystal
1_6675,non-crystal,challenging-crystal
1_732,non-crystal,challenging-crystal
1_928,non-crystal,challenging-crystal
2_1285,non-crystal,challenging-crystal
2_1617,non-crystal,challenging-crystal
2_1822,non-crystal,challenging-crystal
2_2202,non-crystal,challenging-crystal
2_4178,non-crystal,challenging-crystal
2_4208,non-crystal,challenging-crystal
2_5406,non-crystal,challenging-crystal
2_6058,non-crystal,challenging-crystal
2_6290,non-crystal,challenging-crystal
1_1085,crystal,challenging-crystal
1_1088,crystal,challenging-crystal
1_1163,crystal,challenging-crystal
1_1184,crystal,challenging-crystal
1_1197,crystal,challenging-crystal
1_1206,crystal,challenging-crystal
1_1246,crystal,challenging-crystal
1_1247,crystal,challenging-crystal
1_125,crystal,challenging-crystal
1_126,crystal,challenging-crystal
1_1271,crystal,challenging-crystal
1_1376,crystal,challenging-crystal
1_1685,crystal,challenging-crystal
1_1696,crystal,challenging-crystal
1_1855,crystal,challenging-crystal
1_1906,crystal,challenging-crystal
1_1932,crystal,challenging-crystal
1_2048,crystal,challenging-crystal
1_2060,crystal,challenging-crystal
1_2282,crystal,challenging-crystal
1_231,crystal,challenging-crystal
1_2554,crystal,challenging-crystal
1_2604,crystal,challenging-crystal
1_2821,crystal,challenging-crystal
1_289,crystal,challenging-crystal
1_2934,crystal,challenging-crystal
1_3050,crystal,challenging-crystal
1_3135,crystal,challenging-crystal
1_3164,crystal,challenging-crystal
1_321,crystal,challenging-crystal
1_3237,crystal,challenging-crystal
1_3244,crystal,challenging-crystal
1_3248,crystal,challenging-crystal
1_3434,crystal,challenging-crystal
1_3450,crystal,challenging-crystal
1_360,crystal,challenging-crystal
1_3715,crystal,challenging-crystal
1_382,crystal,challenging-crystal
1_3840,crystal,challenging-crystal
1_3866,crystal,challenging-crystal
1_3869,crystal,challenging-crystal
1_3900,crystal,challenging-crystal
1_3915,crystal,challenging-crystal
1_3916,crystal,challenging-crystal
1_3917,crystal,challenging-crystal
1_3925,crystal,challenging-crystal
1_3934,crystal,challenging-crystal
1_4033,crystal,non-crystal
1_405,crystal,challenging-crystal
1_4081,crystal,challenging-crystal
1_4086,crystal,challenging-crystal
1_4106,crystal,challenging-crystal
1_4170,crystal,challenging-crystal
1_4224,crystal,challenging-crystal
1_4267,crystal,challenging-crystal
1_4306,crystal,challenging-crystal
1_4323,crystal,challenging-crystal
1_4389,crystal,challenging-crystal
1_4399,crystal,challenging-crystal
1_4419,crystal,challenging-crystal
1_4449,crystal,challenging-crystal
1_4462,crystal,challenging-crystal
1_459,crystal,challenging-crystal
1_4616,crystal,challenging-crystal
1_4672,crystal,challenging-crystal
1_4796,crystal,challenging-crystal
1_4822,crystal,challenging-crystal
1_5056,crystal,challenging-crystal
1_5107,crystal,challenging-crystal
1_5411,crystal,challenging-crystal
1_577,crystal,challenging-crystal
1_579,crystal,challenging-crystal
1_594,crystal,challenging-crystal
1_5972,crystal,challenging-crystal
1_6128,crystal,challenging-crystal
1_6182,crystal,challenging-crystal
1_6205,crystal,challenging-crystal
1_6314,crystal,challenging-crystal
1_6322,crystal,challenging-crystal
1_632,crystal,challenging-crystal
1_6500,crystal,challenging-crystal
1_720,crystal,challenging-crystal
2_2072,crystal,challenging-crystal
2_3877,crystal,challenging-crystal
1_0,challenging-crystal,non-crystal
1_1145,challenging-crystal,non-crystal
1_1180,challenging-crystal,non-crystal
1_1825,challenging-crystal,non-crystal
1_1990,challenging-crystal,crystal
1_213,challenging-crystal,non-crystal
1_2160,challenging-crystal,non-crystal
1_3209,challenging-crystal,crystal
1_3394,challenging-crystal,crystal
1_4055,challenging-crystal,crystal
1_4071,challenging-crystal,non-crystal
1_4371,challenging-crystal,non-crystal
1_4706,challenging-crystal,non-crystal
1_4976,challenging-crystal,crystal
1_4997,challenging-crystal,crystal
1_5131,challenging-crystal,crystal
1_5235,challenging-crystal,crystal
1_5268,challenging-crystal,crystal
1_5279,challenging-crystal,non-crystal
1_576,challenging-crystal,non-crystal
1_6371,challenging-crystal,crystal
1_6399,challenging-crystal,crystal
1_6482,challenging-crystal,crystal
1_6576,challenging-crystal,crystal
1_6617,challenging-crystal,crystal
1_983,challenging-crystal,crystal
2_1302,challenging-crystal,non-crystal
2_2224,challenging-crystal,non-crystal
2_2622,challenging-crystal,non-crystal
2_2635,challenging-crystal,non-crystal
2_3890,challenging-crystal,non-crystal
2_4007,challenging-crystal,non-crystal
2_4183,challenging-crystal,non-crystal
2_5801,challenging-crystal,non-crystal
2_6546,challenging-crystal,non-crystal
